 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Município e Ano atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Set/2025
"Município";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"411380 LUPIONOPOLIS";-;-;-;1;-;-;1;2;1;3;-;1;11;7;-;8;15;24;3;77
"411390 MALLET";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
"411400 MAMBORE";-;-;-;-;-;-;3;-;2;2;-;-;-;5;-;1;-;10;-;23
"411410 MANDAGUACU";-;-;-;-;-;-;2;10;11;12;2;1;2;16;-;9;8;13;125;211
"411420 MANDAGUARI";-;5;-;12;1;1;74;30;139;23;4;3;6;62;-;8;10;70;11;459
"411430 MANDIRITUBA";-;-;-;-;-;-;-;-;-;2;1;-;-;1;-;-;-;4;-;8
"411440 MANGUEIRINHA";-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;5;-;39;1;48
"411450 MANOEL RIBAS";-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;3;4;35;1;47
"411460 MARECHAL CANDIDO RONDON";-;3;-;17;4;-;-;9;80;18;1;1;4;30;4;15;5;107;18;316
"411470 MARIA HELENA";-;-;-;-;1;-;-;-;-;-;-;-;-;5;-;2;-;1;18;27
"411480 MARIALVA";-;3;1;56;16;1;64;13;3;7;1;-;-;19;-;7;14;93;28;326
"411490 MARILANDIA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;18;6;26
"411500 MARILENA";-;-;-;-;-;-;2;60;6;4;4;2;2;35;5;46;46;51;78;341
"411510 MARILUZ";-;-;-;-;-;-;1;-;-;1;-;-;2;6;-;6;8;54;7;85
"411520 MARINGA";3;53;34;246;38;23;161;351;60;123;8;8;68;326;37;420;230;636;471;3296
"411530 MARIOPOLIS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;4
"411535 MARIPA";-;1;-;-;-;-;1;1;-;2;-;-;2;6;-;-;1;4;1;19
"411540 MARMELEIRO";-;-;-;-;2;3;-;-;6;4;-;-;5;-;-;-;-;20;3;43
"411545 MARQUINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;7
"411550 MARUMBI";-;-;-;-;1;-;-;-;1;-;1;1;-;1;-;5;-;6;4;20
"411560 MATELANDIA";-;-;-;4;7;1;3;1;1;26;-;1;1;13;1;122;26;86;3;296
"411570 MATINHOS";-;-;-;-;1;-;-;-;1;1;-;-;-;4;-;7;12;18;4;48
"411573 MATO RICO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"411575 MAUA DA SERRA";-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;13;3;20
"411580 MEDIANEIRA";-;-;-;119;34;1;6;4;13;83;3;1;51;91;17;35;68;158;10;694
"411585 MERCEDES";-;-;-;2;-;-;-;-;4;2;-;-;7;14;8;4;4;9;-;54
"411590 MIRADOR";-;-;-;1;-;-;-;-;-;-;-;-;2;4;-;1;8;23;7;46
"411600 MIRASELVA";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;6;3;13
"411605 MISSAL";-;-;-;4;-;-;3;1;-;1;-;-;-;1;1;-;21;113;13;158
"411610 MOREIRA SALES";-;-;-;10;1;-;6;26;6;2;1;1;8;14;-;1;2;13;-;91
"411620 MORRETES";-;-;-;1;-;-;-;-;-;23;-;-;-;1;2;-;2;26;4;59
"411630 MUNHOZ DE MELO";-;-;-;3;1;2;-;1;3;1;-;-;-;3;-;-;5;1;1;21
"411640 NOSSA SENHORA DAS GRACAS";-;-;-;-;1;-;3;2;3;6;1;-;1;4;-;1;4;1;2;29
"411650 NOVA ALIANCA DO IVAI";-;1;-;-;-;-;2;-;4;-;-;-;1;3;-;-;-;-;-;11
"411660 NOVA AMERICA DA COLINA";-;-;-;-;3;-;-;-;-;2;-;-;1;2;1;1;1;14;4;29
"411670 NOVA AURORA";-;-;-;3;-;-;-;-;1;-;-;-;3;117;2;18;3;96;4;247
"411680 NOVA CANTU";-;-;-;1;1;1;3;-;9;21;2;2;47;11;11;4;6;53;17;189
"411690 NOVA ESPERANCA";-;9;-;25;6;4;30;40;80;4;1;-;2;23;2;26;1;5;23;281
"411695 NOVA ESPERANCA DO SUDOESTE";-;-;-;-;-;1;1;-;-;5;-;-;-;1;-;14;3;41;2;68
"411700 NOVA FATIMA";-;-;-;6;17;2;1;1;7;3;3;1;9;36;1;5;12;20;14;138
"411705 NOVA LARANJEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;15;-;19
"411710 NOVA LONDRINA";-;-;-;-;2;-;11;137;9;5;-;-;21;51;9;15;45;12;74;391
"411720 NOVA OLIMPIA";-;2;1;2;11;1;5;5;1;5;-;-;5;21;3;1;2;5;37;107
"411721 NOVA SANTA BARBARA";-;-;-;-;2;1;-;-;-;2;1;-;-;1;-;-;3;7;2;19
"411722 NOVA SANTA ROSA";-;-;-;-;1;-;4;-;2;7;-;-;-;4;1;25;2;21;1;68
"411725 NOVA PRATA DO IGUACU";-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;4;-;3;9;20
"411727 NOVA TEBAS";-;-;-;-;-;-;-;-;-;-;1;-;1;5;-;1;13;49;3;73
"411729 NOVO ITACOLOMI";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;5;10;29;2;48
"411730 ORTIGUEIRA";-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;5;2;72;3;85
"411740 OURIZONA";-;-;-;1;-;1;3;1;2;-;1;-;-;2;-;-;1;6;21;39
"411745 OURO VERDE DO OESTE";-;-;-;1;-;-;1;1;1;-;-;-;-;1;-;-;1;10;1;17
"411750 PAICANDU";-;30;6;36;9;15;66;14;22;17;-;-;45;91;1;7;6;75;28;468
"411760 PALMAS";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6;-;7
"411770 PALMEIRA";-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;2;1;48;6;61
"411780 PALMITAL";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;23;1;28
"411790 PALOTINA";-;2;1;2;4;-;51;32;66;9;1;2;5;25;-;54;45;118;4;421
"411800 PARAISO DO NORTE";-;-;-;1;-;1;2;1;7;1;-;-;2;37;1;2;-;8;5;68
"411810 PARANACITY";-;2;-;15;3;-;15;6;2;1;-;-;2;5;-;3;-;4;6;64
"411820 PARANAGUA";-;-;-;1;1;1;1;-;21;261;21;-;3;9;36;17;68;33;11;484
"411830 PARANAPOEMA";-;-;-;-;-;-;4;-;-;1;-;1;2;4;3;1;1;1;1;19
"411840 PARANAVAI";-;7;3;10;9;3;36;7;7;-;-;-;20;47;1;15;12;26;34;237
"411845 PATO BRAGADO";-;-;-;-;-;-;-;-;-;-;-;-;-;3;7;3;5;93;4;115
"411850 PATO BRANCO";-;-;-;-;2;2;2;3;13;12;-;-;3;11;-;75;3;126;17;269
"411870 PAULO FRONTIN";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"411880 PEABIRU";-;-;-;1;-;10;30;-;-;6;1;-;2;4;-;3;2;13;4;76
"411885 PEROBAL";-;1;-;1;-;-;1;-;1;-;-;-;3;8;-;4;1;31;6;57
"411890 PEROLA";-;-;-;2;2;3;1;4;3;1;-;-;1;8;-;10;15;12;12;74
"411900 PEROLA D'OESTE";-;-;-;-;1;1;1;-;-;10;1;-;3;5;1;37;15;26;2;103
"411910 PIEN";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;5
"411915 PINHAIS";-;-;-;-;4;-;2;-;3;1;2;3;-;-;-;4;5;93;14;131
"411920 PINHALAO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;4
"411925 PINHAL DE SAO BENTO";-;-;-;-;-;-;-;-;2;5;-;-;2;1;-;3;-;2;-;15
"411930 PINHAO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;3;3;8
"411940 PIRAI DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;4;8
"411950 PIRAQUARA";-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;-;1;27;5;39
"411960 PITANGA";-;-;-;-;1;-;-;-;-;3;-;-;1;7;-;32;9;384;82;519
"411965 PITANGUEIRAS";-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;2;2;8;-;16
"411970 PLANALTINA DO PARANA";-;-;-;11;-;-;1;2;4;-;1;-;-;3;1;1;4;18;31;77
"411980 PLANALTO";-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;5;13;20;-;42
"411990 PONTA GROSSA";-;-;1;-;1;3;-;-;-;3;1;-;1;1;-;2;1;550;48;612
"411995 PONTAL DO PARANA";-;-;-;-;-;-;-;-;-;6;-;-;1;-;1;8;14;10;1;41
"412000 PORECATU";-;4;-;8;61;-;58;9;5;13;1;-;11;34;1;8;31;22;71;337
"412010 PORTO AMAZONAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"412015 PORTO BARREIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;16
"412020 PORTO RICO";-;-;-;3;-;-;2;-;3;-;-;-;6;3;1;8;2;-;6;34
"412033 PRADO FERREIRA";-;-;-;-;-;-;2;1;1;1;1;-;-;2;-;1;19;11;7;46
"412035 PRANCHITA";-;-;1;1;1;-;2;1;7;7;1;-;-;5;1;3;5;37;2;74
"412040 PRESIDENTE CASTELO BRANCO";-;1;-;6;1;-;1;17;1;-;-;-;-;1;-;-;-;4;2;34
"412050 PRIMEIRO DE MAIO";1;2;-;18;2;-;8;-;5;-;1;-;5;7;-;10;2;97;41;199
"412060 PRUDENTOPOLIS";-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;3;95;8;112
"412065 QUARTO CENTENARIO";-;-;-;13;12;-;29;2;8;2;-;1;-;7;1;9;1;20;11;116
"412070 QUATIGUA";-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;4;-;7
"412080 QUATRO BARRAS";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;2;1;6
"412085 QUATRO PONTES";-;1;-;4;1;-;2;-;-;-;1;-;4;19;4;3;4;26;5;74
"412090 QUEDAS DO IGUACU";-;-;-;-;-;-;1;-;16;72;2;2;6;21;1;25;21;180;5;352
"412100 QUERENCIA DO NORTE";-;-;-;-;1;-;4;9;2;4;1;1;4;50;3;3;1;11;35;129
"412110 QUINTA DO SOL";-;-;-;1;-;-;20;1;2;1;-;-;14;15;-;4;4;89;5;156
"412120 QUITANDINHA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"412125 RAMILANDIA";-;-;-;2;1;1;-;-;-;6;-;-;-;2;1;1;4;9;-;27
"412130 RANCHO ALEGRE";-;-;1;-;1;-;-;-;1;4;-;-;1;1;-;-;3;7;4;23
"412135 RANCHO ALEGRE D'OESTE";-;-;-;-;-;-;8;-;24;3;-;-;3;1;-;3;-;4;1;47
"412140 REALEZA";-;-;-;14;4;-;18;-;2;14;-;2;-;7;-;43;16;56;12;188
"412150 REBOUCAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;13;39
"412160 RENASCENCA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;4
"412170 RESERVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;-;10
"412175 RESERVA DO IGUACU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;1;6
"412180 RIBEIRAO CLARO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;65;38;105
"412190 RIBEIRAO DO PINHAL";-;-;-;7;21;2;8;2;33;6;1;-;2;19;-;64;16;148;138;467
"412200 RIO AZUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;6
"412210 RIO BOM";-;-;-;-;-;-;-;2;2;-;1;-;-;-;-;-;-;3;4;12
"412215 RIO BONITO DO IGUACU";-;-;-;1;-;-;-;-;1;2;-;-;1;1;-;1;2;50;1;60
"412217 RIO BRANCO DO IVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;3;14
"412220 RIO BRANCO DO SUL";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;1;5
"412230 RIO NEGRO";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;11;-;14
"412240 ROLANDIA";-;2;1;18;16;3;8;12;46;13;4;1;7;131;36;20;28;309;206;861
"412250 RONCADOR";-;-;-;-;-;-;-;-;-;1;-;-;8;36;3;2;2;54;1;107
"412260 RONDON";-;-;-;-;2;-;2;28;7;7;1;6;9;54;2;38;203;95;76;530
"412265 ROSARIO DO IVAI";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;7;2;11
"412270 SABAUDIA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;3;14;14;34
"412280 SALGADO FILHO";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;5;-;7
"412290 SALTO DO ITARARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;2;16
"412300 SALTO DO LONTRA";-;-;-;-;-;-;-;-;8;1;-;-;1;8;-;13;-;33;6;70
"412310 SANTA AMELIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;9;5;15
"412320 SANTA CECILIA DO PAVAO";-;-;-;-;1;-;1;2;1;2;-;-;-;-;-;-;2;-;-;9
"412330 SANTA CRUZ DE MONTE CASTELO";-;-;-;-;-;-;25;1;1;1;-;-;6;14;1;7;27;23;85;191
"412340 SANTA FE";-;-;-;13;9;1;30;12;14;3;1;-;9;13;1;1;12;3;5;127
"412350 SANTA HELENA";-;-;-;1;3;-;1;1;-;10;7;-;2;32;5;16;9;98;30;215
"412360 SANTA INES";-;-;-;2;2;-;2;-;1;1;-;-;-;8;-;-;4;1;1;22
"412370 SANTA ISABEL DO IVAI";-;-;-;22;8;-;15;10;76;11;4;-;19;36;-;14;18;143;68;444
"412380 SANTA IZABEL DO OESTE";-;-;-;1;-;-;1;-;3;1;1;-;-;7;-;13;15;70;36;148
"412382 SANTA LUCIA";-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;22;1;28
"412385 SANTA MARIA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;20;-;21
"412390 SANTA MARIANA";-;-;-;6;14;-;-;-;-;-;-;-;24;4;3;60;33;53;31;228
"412395 SANTA MONICA";-;-;-;-;1;1;18;1;5;1;1;-;3;10;-;-;5;14;42;102
"412400 SANTANA DO ITARARE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;21;23
"412402 SANTA TEREZA DO OESTE";-;-;-;-;-;-;-;-;1;1;-;-;-;6;-;1;2;13;2;26
"412405 SANTA TEREZINHA DE ITAIPU";-;-;-;1;5;-;3;1;5;14;4;-;6;14;2;3;17;30;5;110
"412410 SANTO ANTONIO DA PLATINA";-;-;-;47;49;1;25;14;43;8;-;4;-;55;-;7;21;327;64;665
"412420 SANTO ANTONIO DO CAIUA";-;-;-;-;-;-;7;5;17;2;-;-;1;3;8;-;-;7;6;56
"412430 SANTO ANTONIO DO PARAISO";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;7;2;12
"412440 SANTO ANTONIO DO SUDOESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;27;2;-;1;18;-;48
"412450 SANTO INACIO";-;-;-;3;3;1;6;3;3;1;-;-;4;4;-;-;3;3;8;42
"412460 SAO CARLOS DO IVAI";-;-;-;-;-;2;7;3;5;1;-;1;4;19;1;7;1;18;4;73
"412470 SAO JERONIMO DA SERRA";-;-;-;-;2;1;-;-;1;-;-;-;-;1;-;1;1;5;-;12
"412480 SAO JOAO";-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;2;18;29;1;55
"412490 SAO JOAO DO CAIUA";-;-;-;-;1;-;6;-;20;-;-;-;-;4;-;1;2;9;9;52
"412500 SAO JOAO DO IVAI";-;-;-;-;-;-;10;1;2;1;-;28;1;9;-;17;11;69;3;152
"412510 SAO JOAO DO TRIUNFO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;5
"412520 SAO JORGE D'OESTE";-;-;-;-;-;-;-;-;6;-;-;-;-;1;-;22;1;29;1;60
"412530 SAO JORGE DO IVAI";-;-;-;-;-;-;-;11;25;6;3;-;-;1;-;-;-;1;33;80
"412535 SAO JORGE DO PATROCINIO";-;-;-;2;-;1;2;-;10;2;-;-;1;12;2;6;5;12;56;111
"412540 SAO JOSE DA BOA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14;17;32
"412545 SAO JOSE DAS PALMEIRAS";-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;3;30;17;52
"412550 SAO JOSE DOS PINHAIS";-;-;-;1;-;-;3;2;-;3;1;-;-;2;-;3;3;53;21;92
"412555 SAO MANOEL DO PARANA";-;-;-;1;2;1;6;-;6;-;1;-;-;2;-;-;1;6;1;27
"412560 SAO MATEUS DO SUL";-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;1;10;-;15
"412570 SAO MIGUEL DO IGUACU";-;-;-;18;2;-;1;-;1;6;-;-;8;16;2;6;60;80;1;201
"412575 SAO PEDRO DO IGUACU";-;-;-;6;-;1;1;1;-;-;-;-;-;1;-;3;-;6;1;20
"412580 SAO PEDRO DO IVAI";-;-;-;-;-;-;7;-;-;-;2;-;3;8;7;14;25;94;16;176
"412590 SAO PEDRO DO PARANA";-;-;-;-;-;-;8;7;14;-;-;-;5;14;-;17;25;50;41;181
"412600 SAO SEBASTIAO DA AMOREIRA";-;-;-;-;2;1;5;1;4;31;11;8;1;2;-;5;-;7;12;90
"412610 SAO TOME";-;-;-;-;-;-;1;1;-;-;1;-;-;5;-;2;-;16;-;26
"412620 SAPOPEMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;13;-;18
"412625 SARANDI";-;9;11;83;7;4;68;73;16;38;6;1;10;68;2;26;14;68;27;531
"412627 SAUDADE DO IGUACU";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;2;-;25;2;31
"412630 SENGES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;-;5
"412635 SERRANOPOLIS DO IGUACU";-;-;-;2;-;-;-;-;2;16;-;-;6;13;16;1;11;17;-;84
"412640 SERTANEJA";-;-;1;1;26;-;-;4;-;5;-;-;1;7;-;1;8;16;3;73
"412650 SERTANOPOLIS";-;5;4;47;23;3;29;11;39;21;-;-;36;59;-;9;32;121;95;534
"412660 SIQUEIRA CAMPOS";-;-;-;-;-;-;-;1;22;2;-;-;-;-;1;-;16;204;24;270
"412665 SULINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;15;1;18
"412667 TAMARANA";-;2;-;1;-;-;-;-;-;-;-;-;2;13;-;2;9;42;43;114
"412670 TAMBOARA";-;-;-;-;-;-;5;-;-;-;2;-;1;25;-;1;12;9;3;58
"412680 TAPEJARA";-;2;2;15;2;-;5;2;5;-;-;-;2;10;3;4;3;22;4;81
"412690 TAPIRA";-;1;-;-;-;1;3;-;3;1;-;-;2;4;-;9;2;70;17;113
"412700 TEIXEIRA SOARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;5
"412710 TELEMACO BORBA";-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;7;6;243;79;338
"412720 TERRA BOA";-;-;-;20;-;-;25;55;12;11;1;-;9;80;5;163;10;47;18;456
"412730 TERRA RICA";-;-;-;-;1;1;11;5;15;5;-;-;4;69;3;9;22;20;23;188
"412740 TERRA ROXA";-;-;-;1;-;-;-;3;1;1;-;-;-;9;-;2;118;242;6;383
"412750 TIBAGI";-;-;-;-;-;-;-;-;-;1;-;-;-;11;-;35;1;29;-;77
"412760 TIJUCAS DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"412770 TOLEDO";-;-;1;4;5;7;10;6;11;2;1;1;7;31;2;32;28;551;102;801
"412780 TOMAZINA";1;2;-;4;2;-;-;1;-;-;-;-;-;8;-;5;25;25;1;74
"412785 TRES BARRAS DO PARANA";-;-;-;-;-;1;4;-;2;1;1;-;-;3;-;3;10;80;-;105
"412788 TUNAS DO PARANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"412790 TUNEIRAS DO OESTE";-;-;-;1;-;1;32;1;-;5;-;-;2;31;1;27;13;14;1;129
"412795 TUPASSI";-;-;-;12;-;-;3;-;125;32;-;-;2;23;-;5;-;35;-;237
"412796 TURVO";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;31;11;46
"412800 UBIRATA";-;-;1;3;-;-;17;6;17;48;-;1;9;136;60;93;20;70;8;489
"412810 UMUARAMA";3;15;-;38;10;9;50;9;40;9;7;1;35;144;1;20;21;125;22;559
"412820 UNIAO DA VITORIA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;8
"412830 UNIFLOR";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;1;1;5
"412840 URAI";-;-;-;-;12;1;-;20;-;-;-;1;7;16;5;-;7;46;8;123
"412850 WENCESLAU BRAZ";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;55;1;58
"412853 VENTANIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;10
"412855 VERA CRUZ DO OESTE";-;2;-;-;-;-;-;-;2;3;-;-;2;10;-;29;9;56;8;121
"412860 VERE";-;-;-;-;-;1;-;1;22;-;-;-;2;2;-;22;3;9;-;62
"412862 ALTO PARAISO";-;1;-;2;-;-;-;-;-;1;-;-;1;-;-;2;-;5;-;12
"412865 VIRMOND";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6;-;7
"412870 VITORINO";-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;4;-;12;-;19
"412880 XAMBRE";-;1;-;1;-;-;1;-;4;-;1;-;1;15;1;4;1;9;2;41
"420010 ABELARDO LUZ";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;31;7;15;2;56
"420020 AGROLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"420030 AGRONOMICA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420050 AGUAS DE CHAPECO";-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;1;6;46;1;58
"420055 AGUAS FRIAS";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2
"420060 AGUAS MORNAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;4;8
"420070 ALFREDO WAGNER";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"420075 ALTO BELA VISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"420080 ANCHIETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11;2;14
"420090 ANGELINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"420110 ANITAPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"420120 ANTONIO CARLOS";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;6;2;1;12
"420125 APIUNA";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;6;-;10
"420130 ARAQUARI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;4;32;114;20;173
"420140 ARARANGUA";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;9;2;13
"420150 ARMAZEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420160 ARROIO TRINTA";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4;-;5
"420165 ARVOREDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3
"420170 ASCURRA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;2;-;6
"420180 ATALANTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;3
"420190 AURORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
"420195 BALNEARIO ARROIO DO SILVA";-;-;-;1;-;-;-;-;1;2;1;-;-;-;-;1;1;-;1;8
"420200 BALNEARIO CAMBORIU";-;-;2;2;3;-;2;-;3;3;-;1;4;3;1;3;35;58;18;138
"420205 BALNEARIO BARRA DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;71;4;86
"420207 BALNEARIO GAIVOTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"420208 BANDEIRANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"420209 BARRA BONITA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;7;-;10
"420210 BARRA VELHA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;15;61;17;94
"420213 BELA VISTA DO TOLDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"420215 BELMONTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;65;1;3;4;75
"420220 BENEDITO NOVO";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;3
"420230 BIGUACU";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;42;42;11;98
"420240 BLUMENAU";-;-;1;2;-;-;-;2;1;5;-;1;9;4;2;259;61;662;39;1048
"420245 BOMBINHAS";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;3;13;6;26
"420253 BOM JESUS";-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;5
"420257 BOM JESUS DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420260 BOM RETIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3
"420270 BOTUVERA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"420280 BRACO DO NORTE";-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;2;72;3;81
"420285 BRACO DO TROMBUDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420287 BRUNOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420290 BRUSQUE";-;-;-;-;1;-;1;-;4;3;1;2;6;3;3;83;31;172;15;325
"420300 CACADOR";-;-;-;1;-;1;1;-;-;-;-;-;1;1;-;-;1;2;3;11
"420310 CAIBI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;1;30;1;55
"420315 CALMON";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"420320 CAMBORIU";-;-;-;-;-;1;-;-;2;1;-;-;1;2;1;2;30;44;14;98
"420325 CAPAO ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;3
"420330 CAMPO ALEGRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8;-;9
"420350 CAMPO ERE";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;9;-;24;-;34
"420360 CAMPOS NOVOS";-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;12;4;19
"420370 CANELINHA";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;1;5;10
